ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;CE;FORTALEZA;J A COMERCIO COMBUSTIVEIS LTDA; 02.696.818/0001-16;AV JORNALISTA TOMAZ COELHO;2960;A;JANGURUSSU;60534-160;GASOLINA ADITIVADA;01/12/2021;7,099;;R$ / litro;BRANCA;2º semestre;NE
;SP;MAUA;POSTO DE SERVICOS ZAIRA LTDA; 21.021.106/0001-41;AVENIDA   LUIS GONZAGA DO AMARAL;438;;JARDIM ZAIRA;09320-630;DIESEL S10;06/10/2021;5,049;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
NE;BA;CAMACARI;POSTO DE COMBUSTIVEIS BUSCA VIDA LTDA; 28.315.993/0001-00;RUA C;27;LOTEAMENTO JARDIM FL      AMBOYANTS;VILA DE ABRANTES;42840-000;ETANOL;26/01/2021;3,52;;R$ / litro;BRANCA;1º semestre;
;RJ;VOLTA REDONDA;POSTO BARBARA LTDA; 32.489.114/0001-33;VIA SERGIO BRAGA;1070;;PONTE ALTA;27265-601;GASOLINA ADITIVADA;23/08/2021;6,649;;R$ / litro;BRANCA;2º semestre;SE
;PB;CAMPINA GRANDE;W A BARRETO E CIA LTDA; 70.098.470/0003-87;RUA CONSUL JOSEPH NOUJAIM HABIB NACAD;1001;;CATOLE;58410-260;GASOLINA ADITIVADA;27/09/2021;6,139;;R$ / litro;IPIRANGA;2º semestre;NE
;SC;MAFRA;POSTO RODA 7 LTDA; 09.150.753/0001-58;AVENIDA PRESIDENTE NEREU RAMOS;1695;;JARDIM MOINHO;89300-001;GASOLINA ADITIVADA;23/11/2021;6,579;;R$ / litro;DIBRAPE;2º semestre;S
;SP;ITAPIRA;AUTO POSTO J N DE ITAPIRA LTDA - ME; 00.611.991/0001-49;RUA DR FRCO DE P M BARBOSA;680;;CENTRO;13972-012;DIESEL S10;13/10/2021;4,949;;R$ / litro;BRANCA;2º semestre;SE
SE;RJ;SAQUAREMA;POSTO DE GASOLINA NUNES & COSTA LIMITADA; 32.144.917/0001-56;RODOVIA AMARAL PEIXOTO;273;KM    70;BACAXA;28993-000;GASOLINA ADITIVADA;08/06/2021;6,589;;R$ / litro;IPIRANGA;1º semestre;
;PA;ITAITUBA;L C ALMEIDA GOMES FREIRE EIRELI; 05.925.849/0001-90;TRAVESSA VICTOR CAMPOS;66;;CENTRO;68180-070;DIESEL S10;02/09/2021;4,89;;R$ / litro;BRANCA;2º semestre;N
;SC;TUBARAO;AUTO POSTO OSORIO LTDA; 82.968.322/0001-93;RODOVIA BR 101;1387;KM    342;SAO CRISTOVAO;88708-350;DIESEL;15/09/2021;4,489;;R$ / litro;VIBRA ENERGIA;2º semestre;S
